title,text
В российском городе на пенсионера обрушился кусок потолка,"В Кирове в аварийном доме на 65-летнего жильца упал кусок потолка. Случаем заинтересовались в Следственном комитете, сообщается на сайте ведомства. Обрушение произошло в трехэтажке 1956 года постройки по улице Захватаева. Как уточняется, на пенсионера рухнул полутораметровый фрагмент штукатурки. Это не первый подобный инцидент: прежде в том же доме в одной из квартир обвалилось чердачное перекрытие. Дом считается ветхим. Аварийный статус в связи со значительным физическим износом и разрушением конструкций ему присвоили в 2021 году, однако расселение жильцов намечено лишь на 2029 год. Инцидент стал поводом для возбуждения уголовного дела, за ходом которого следит центральный аппарат Следкома. Глава ведомства Александр Бастрыкин затребовал доклад о ходе и результатах расследования. Ранее потолок упал в квартире москвича. Перекрытия обвалились почти полностью, от удара кусок конструкции отскочил на диван. В момент обрушения в комнате спали семилетний ребенок и двое взрослых."
Российский АК-12 попал в музей,"Современные образцы стрелкового оружия, включая автомат Калашникова АК-12 и снайперскую винтовку Чукавина (СВЧ), попали в Центральный музей Вооруженных сил (ВС) России. Об этом сообщил концерн «Калашников». Компания передала восемь образцов оружия, которые пополнят экспозицию, посвященную СВО. Посетители смогут увидеть автоматы АК-74М, АК-12 и АК-15, пистолеты-пулеметы ППК-20 и «Витязь-СН», винтовки СВЧ и СВДМ, а также подствольный гранатомет ГП-34. В концерне подчеркнули, что эти изделия успешно применяют в зоне проведения спецоперации. Автоматы АК-12 и пистолет-пулемет ППК-20 модернизировали с учетом предложений бойцов. В июне «Калашников» сообщил о передаче новой партии АК-12 образца 2023 года российским бойцам. Доработанные автоматы оснащают новым диоптрическим прицелом, щелевым пламегасителем и ударно-спусковым механизмом с двухсторонним переводчиком-предохранителем."
Переехавший в Россию блогер-африканец раскрыл удививший его факт,"Переехавший в Крым из Конго популярный блогер, известный как Кадрол, раскрыл удививший его факт о России. На эту тему он высказался в шоу «Летний подкаст №1», выпуск доступен во «ВКонтакте». Ведущий подкаста, блогер и рэпер Эльдар Джарахов отметил, что однажды во Франции случайно заказал в ресторане блюдо из голубя. «А я охренел от того, что здесь (в России — прим. «Ленты.ру») голубь — это несъедобное. (...) У нас [голубей] едят», — заявил в ответ Кадрол. Он в шутку добавил, что хотел бы попробовать в России блюдо из этой птицы. Блогер также рассказал, что уехал из Африки в 2018 году после окончания школы, чтобы продолжить обучение в России. Затем он в течение года учил русский язык. Ранее российская юмористка гвинейского происхождения Белла Малу рассказала о вызывающих страх поездках в Африку. Звезда «Женского стендапа» заявила, что во время поездок в Гвинею она, так же как и местные жители, начинает верить в высшие силы и бояться их возмездия."
Мужчина простил убийцу матери и попросил отменить его казнь,"В США сын жертвы простил убийцу и попросил отменить исполнение высшей меры наказания. Об этом сообщает PBS News. В 1997 году в штате Алабама в 31-летнюю Маргарет Пэрриш выстрелили во время ограбления заправки, где она работала. Женщина не пережила нападения. Тогда ее сыну Уиллу Берри было всего 11 лет. Преступника вскоре поймали, им оказался Джеффри Уэст. За содеянное его приговорили к высшей мере наказания. Однако выросший Берри написал губернатору штата Кей Айви и попросил отменить экзекуцию, назначенную на 25 сентября 2025 года. Сын жертвы заявил: «Я простил этого парня и не хочу, чтобы его жизнь закончилась — не хочу, чтобы государство мстило от моего имени». Уэст и Берри обменялись письмами. Уэст написал, что сожалеет о том, что произошло с матерью Берри. Мужчины примирились. «Я каждый день жалею о содеянном и хотел бы все исправить», — сказал 50-летний Уэст, которому на момент преступления был 21 год. По собственным словам, он совершил нападение из-за бедности. Тюремные власти отклонили просьбу о личной встрече, сославшись на правила безопасности. Губернатор ответила Берри, что обязана исполнять закон и наказывать осужденных за особо тяжкие преступления. Несмотря на кампанию Берри, приговор Уэста привели в исполнение, применив азотную гипоксию. Он провел в камере смертников 26 лет. Ранее сообщалось, что в США невиновный мужчина провел 40 лет в тюрьме за преступление, которого не совершал. Это удалось доказать с помощью ДНК-экспертизы, но мужчина все еще остается в заключении."
Глава МАГАТЭ ответил на критику его диалога с Путиным,"Международное агентство по атомной энергии (МАГАТЭ) продолжает поддерживать диалог с Россией, несмотря на конфликт на Украине, так как ему нет альтернатив в вопросе ядерной безопасности. Таким образом глава агентства Рафаэль Гросси ответил на критику того, что он сохраняет контакты с российским лидером Владимиром Путиным, передает ТАСС. «Когда украинский конфликт только начался, многие западные лидеры критиковали меня за поддержание диалога с президентом России. Но с кем иначе мне говорить? Этот диалог позволяет мне — пусть это и непросто — влиять определенным образом на ядерную безопасность, чтобы развивалась в правильном направлении», — подчеркну глава международной организации. 26 сентября Гросси назвал встречу с Путиным интересной, отметив, что стороны обсудили ядерную энергетику, обсуждали Иран, Ближний Восток и Украину. Также он заявил, что МАГАТЭ поддерживает идею президента России по Договору о мерах по дальнейшему сокращению и ограничению стратегических наступательных вооружений (ДСНВ), которая заключается в соблюдении положений соглашения в ближайший год после истечения срока действия документа."
Власти докапитализируют крупный российский банк почти на 30 миллиардов рублей,"Банк ПСБ планируется докапитализировать на 29,597 миллиарда рублей до конца 2025 года. Об этом со ссылкой на внесенные в Госдуму поправки в бюджет пишет ТАСС. Чуть менее 29 миллиардов рублей из указанной суммы собираются внести в рамках непрограммного направления деятельности «Реализация функций иных федеральных органов государственной власти», говорится в публикации. Отмечается, что это позволит обеспечить выполнение норматива достаточности собственных средств ПСБ «в связи с заключением им кредитных договоров на исполнение поручения президента». Крупный российский банк, о котором идет речь, по данным «Финуслуг» занимает пятое место в стране по размеру активов и чистой прибыли, а также идет восьмым по объему привлеченных вкладов с 607,2 миллиарда рублей Ранее агентство Bloomberg писало об обращении в ЦБ трех системно значимых банков, якобы полагавших в июне, что им в течение 12 месяцев может понадобиться вливание капитала. Глава Банка России Эльвира Набиуллина отмечала в связи с этим, что кредитные организации «зарабатывают» и имеют запасы капитала, позволяющие им чувствовать себя уверенно. Поправки в бюджет, которые планируется рассмотреть 15 октября, предусматривают также повышение дефицита федерального бюджета на 2025 года до 5,74 триллиона рублей или 2,6 процента ВВП."
В Киеве прогремели взрывы,"В Киеве вечером 29 сентября прогремели взрывы. Об этом сообщило украинское издание «Общественное» в Telegram. Сколько взрывов раздалось в украинской столице, не уточняется. В каких районах они были слышны и какие объекты инфраструктуры получили повреждения, также неизвестно. Взрывы в Киеве прозвучали на фоне воздушной тревоги. Сирены в городе включились в 18:41 по московскому времени. Спустя 20 минут воздушная тревога была отменена. Ранее появились кадры удара системы противовоздушной обороны (ПВО) Вооруженных сил Украины (ВСУ) по жилым домам в ходе отражения российской ночной атаки в Киеве. Их показал военный корреспондент Андрей Руденко."
Объемы экспорта российской нефти в Индию оценили,"В настоящее время не наблюдается признаков того, что Индия снизила импорт российской нефти. Об этом заявил советник-посланник посольства России в Индии Роман Бабушкин. Его процитировал ТАСС. По словам Бабушкина, на поставки из России, как и прежде, приходится не меньше трети от общего объема импортируемой Индией нефти. Ранее власти Индии уведомили Вашингтон, что Нью-Дели готов отказаться от российской нефти лишь в том случае, если США снимут санкции с поставок этого энергоносителя из Ирана и Венесуэлы. Отмечается, что одновременное прекращение поставок нефти из России, Ирана и Венесуэлы на индийские нефтеперерабатывающие заводы чревато резким скачком мировых цен. Между тем в США заявили, что торговое соглашение с Индией может быть заключено лишь в том случае, если она перестанет покупать российскую нефть."
Никас Сафронов дал совет Киркорову насчет памятника отцу Бедросу,"Никас Сафронов выразил сомнение в том, что Филипп Киркоров готов заплатить за памятник своему отцу. Об этом народный художник России заявил порталу URA.RU. К самому Сафронову по поводу проекта памятника Бедросу Киркорову никто не обращался, признался художник. По его словам, певец больше привык к подаркам, но за действительно достойный памятник придется заплатить. Так, художник готов поделиться с Киркоровым контактом лучшего профессионала в этом деле. «Есть в России великий скульптор, который сделает оригинальный памятник. Но под силу ли Киркорову, который привык, что ему все дарят… Это Александр Рукавишников. Если Киркоров хочет хороший памятник, нужно обратиться к нему», — рассказал Сафронов. Результат сотрудничества с таким скульптором однозначно порадует артиста, добавил он. Сам Киркоров, как уточняет портал, хотел бы видеть на могиле отца необычный монумент из мрамора или гранита. Однако певец опасается, что на памятнике отец окажется не похож на самого себя. Отца Филиппа Киркорова не стало 18 марта в возрасте 92 лет. Ранее в Приозерске поставили памятник актеру и режиссеру Сергею Бодрову-младшему. Именно там по сценарию родился главный герой фильма «Брат» Данила Багров."
В Европе турист отправился в поход и был найден бездыханным несколько месяцев спустя,"Британский турист отправился в поход на одном из островов Европы и был найден бездыханным несколько месяцев спустя. Об этом пишет газета The Sun. В конце июня 55-летний путешественник отправился пешком в одиночку по туристической тропе на греческом острове Карпатос и пропал. Последний раз его видели живым 27 июня в деревне Тристомо — по словам местного жителя, британец спросил у него дорогу. Туриста нашли бездыханным на острове 27 сентября, спустя три месяца после пропажи. Причина, из-за которой британцу не удалось выжить, будет понятна после проведения вскрытия. Уточняется, что выбранный им маршрут для похода считается труднопроходимым. Ранее турист отправился в поход в горы Индии по запрещенному маршруту и не выжил. 27-летний мужчина и его друг не знали о местных ограничениях на высокогорный трекинг в зимнее время."
Любимые сапоги принцессы Дианы из 80-х вернулись в моду,"Любимые сапоги принцессы Дианы из 1980-х годов вернулись в моду осенью 2025 года. Соответствующий материал приводит Vogue. Речь идет о сапогах на каблуке kitten heel (расширенные к основанию пятки миниатюрные шпильки высотой до пяти сантиметров), в которых принцесса Уэльская неоднократно появлялась на публике. Например, в данной обуви в сочетании с жакетом и юбкой из зеленого бархата она посетила британское посольство в Осло в 1984 году. Отмечается, что в настоящее время данный каблук приобрел более узкий силуэт. Стилисты советуют носить такие сапоги с черными и бордовыми кожаными пальто, серыми костюмными брюками или широкими джинсами. В июне наряд принцессы Дианы из 80-х вновь стал трендом."
На Украине захотели закончить конфликт до конца года,"Украина хочет закончить вооруженный конфликт в 2025 году. Об этом заявил министр иностранных дел страны Андрей Сибига во время его выступления на форуме по безопасности в Варшаве, трансляцию которого вел Mint. «Мы хотим закончить эту войну в этом году», — заявил он во время выступления, отметив, что после встречи президентов есть положительная динамика. Сибига при этом отметил, что не видит возможности для встречи для мирного урегулирования в Москве, что ранее предлагал президент России Владимир Путин. В той же речи Андрей Сибига попросил признать факт, что в настоящий момент идет война России и НАТО. Он уточнил, что идет «необъявленная война»."
Главу управления Росгвардии Северной Осетии задержали за взятки,"В Северной Осетии задержали генерал-майора Росгвардии Валерия Голота. Об этом сообщает Telegram-канал Shot. По данным канала, Голот подозревается в получении взятки. Следователи утром провели обыски в здании Росгвардии и его рабочем кабинете. В результате были задержаны еще несколько сотрудников. Ранее сообщалось, что в кабинете решившего уйти на СВО вице-губернатора Краснодарского края прошли обыски."
Стало известно о смерти на СВО троих родных братьев в течение года,"В Бурятии сообщили о смерти троих родных братьев Александра, Максима и Андрея Борисовых на специальной военной операции (СВО) в течение года. Об этом пишет местный паблик «Хоринск онлайн» в соцсети «ВКонтакте». В феврале 2024 года стало известно о смертельном ранении старшего из братьев Андрея Борисова. А 19 января 2025 года пропал без вести самый младший их них — Александр. Как позже выяснится, его не стало 20 января. Максим Борисов также получил несовместимые с жизнью травмы в ходе боевого задания в апреле. Россияне росли в многодетной семье. У них остался еще один брат и две сестры. Ранее сообщалось о подполковнике МВД из Оренбургской области, который пошел на СВО вслед за сыном и стал свидетелем того, как тому раздробило руку в результате атаки Вооруженных сил Украины. В результате травмы у бойца перестал разжиматься кулак, однако он все равно вернулся на фронт."
"Создателя Fifa, Battlefield и The Sims продали за 55 миллиардов","Корпорацию EA (Electronic Arts), которая выпускает и издает видеоигры, приобрели за 55 миллиардов долларов. Об этом говорится в пресс-релизе, опубликованном на сайте компании. Своим сообщением EA подтвердила ходящие в деловой среде слухи. Отмечается, что было достигнуто соглашение о продаже фирмы консорциуму, состоящих из инвестиционной компании Silver Lake, Суверенного фонда Саудовской Аравии и Affinity Partners. Покупатели приобретут 100 процентов акций EA — она уйдет с биржи и станет частной компанией. «Сделка откроет перед EA уникальные возможности для объединения физических и цифровых возможностей, повышения вовлеченности болельщиков и создания новых возможностей для роста», — отмечается в сообщении. EA известна в качестве разработчика и издателя игры серий Battlefield, Need for Speed, The Sims, Medal of Honor. Также в ее портфель входят спортивные симуляторы — EA Sports FC (ранее известная под названием FIFA), Madden NFL, NBA Live, NHL и EA Sports UFC. Сделка была одобрена советом директоров EA. Стороны ожидают, что она будет закрыта в первом квартале 2027 финансового года — после проверки сделки антимонопольными регуляторами. Отдельно подчеркивается, что штаб-квартира EA останется в Калифорнии, а компанией продолжит управлять Эндрю Уилсон. В конце лета студия EA раскрыла детали о новой игре серии Battlefield. Релиз сетевого шутера состоится 10 октября, стоимость тайтла составит минимум 70 долларов (5,8 тысяч рублей)."
