,text,cluster_number
16,сербия оказала курской области финансовую гуманитарную помощь в размере 472 млн рублей. читать далее,-1
17,представители европарламента призвали руководство государств запада разрешить всу бить иностранным оружием по территории россии без всяких ограничений. читать далее,-1
18,сербия передала в фонд развития курской области финансовую гуманитарную помощь в объеме 472 млн руб.,-1
19,"председатель правления laquo;газпромаraquo; алексей миллер предупредил о приближении аномально холодной зимы на территории европейской части россии, передает корреспондент рбк.",-1
20,федеральная служба по финансовому мониторингу (росфинмониторинг) включила секс-просветительницу и лгбт-активистку (движение лгбт признано в россии экстремистским и запрещено) александру казанцеву (минюстом россии признана иноагентом) в перечень террористов и экстремистов в россии.,-1
21,"центробанк в 2027 году планирует выпустить более 1 млн памятных монет с героями популярного российского мультсериала laquo;лунтик и его друзьяraquo;, следует из данных на сайте регулятора.",-1
22,"хорватия готова выкупить компанию laquo;нефтяная промышленность сербииraquo; (nis), попавшую из-за доли россии под санкции сша, заявил министр экономики анте шушняр, комментируя введение американских санкций против сербской компании, передает jutarnji.",-1
23,"президент украины владимир заленский заявил, что laquo;в ближайшее времяraquo; встретится с андреем бабишемnbsp;mdash; лидером победившей на выборах в чехии партии laquo;акция недовольных гражданraquo; (ano).",-1
24,"два вотума недоверия еврокомиссии, внесенные группами патриоты за европу и левые, были отклонены большинством депутатов европарламента",-1
25,"для евросоюза ситуация в грузии в связи с происходящими там событиями ясна, заявила анитта хиппер, официальный представитель главы дипломатии ес каи каллас.когда вы преследуете независимые сми, оппозицию, гражданское общество, когда вы меняете законы, чтобы дать преимущество вашей партии у власти, - это уже не демократия, - сказала она в четверг на брифинге в брюсселе в ответ на просьбу прокомментировать исходящие из тбилиси критические высказывания представителей грузинских властей в адрес ес.в мире07 октября 2025арестованы еще четверо участников штурма президентского дворца в тбилисичитать подробнеемы всегда осуждали подобный образ действий.",-1
26,"газпром может направить профицит собственной генерации или ресурсы низконапорного газа в центры обработки данных.как сообщает пресс-служба компании, на полях петербургского международного газового форума было подписано соглашение о сотрудничестве с ооо крипто энерджи.",-1
27,"москва. 9 октября. interfax.ru - московская биржа выявила несоответствие обыкновенных акций пао пик сз требованиям к корпоративному управлению для бумаг, включенных в первый уровень листинга.согласно сообщению биржи, нарушения касаются дивидендной политики.биржа отмечает, что эмитенту установлен срок для устранения выявленного несоответствия.днем ранее стало известно, что совет директоров компании принял решение отменить дивидендную политику.",-1
28,китайский юань вырос на московской бирже по итогам торгов в четверг.,-1
29,"рынок акций рф в четверг скорректировался вверх на закрытии коротких позиций игроками после падения в условиях сохраняющейся геополитической и санкционной напряженности, поддержкой выступили заявления главы цб рф о возможном продолжении цикла смягчения монетарной политики.",-1
30,"газпром приступил к практической реализации проекта строительства газопровода волхов-мурманск, сообщила компания по итогам подписания первой пятилетней программы развития газоснабжения и газификации мурманской области - на 2026-2030 годы.основой для газификации мурманской области станет перспективный магистральный газопровод волхов - мурманск.",-1
31,"headhunter (hh) инвестировала в сервис подработок рядом с домом для самозанятых моя смена, получив 26-ю долю в проекте, сообщила технологическая компания.сделка реализована в рамках развития hrtech направления hh, компания финансовые условия не раскрывает.ооо моя смена работает с весны 2022 года.",-1
32,"госсекретарь сша марко рубио и глава мид бразилии мауру виейра в ходе телефонного разговора договорились провести в скором времени встречу для создания механизма по продвижению экономических интересов двух стран, сообщается в четверг на сайте госдепа.госсекретарь рубио и глава мид виейра согласились встретиться в скором времени и создать двусторонний механизм для продвижения взаимных экономических интересов и других ключевых региональных приоритетов, - говорится в сообщении.госсекретарь и министр также обсудили дальнейшие шаги по темам, поднятым в ходе беседы президентов сша и бразилии дональда трампа и луиса инасиу лулы да силвы.в телефонном разговоре в понедельник лидеры двух стран обсудили вопросы экономики и торговли между бразилией и сша.",-1
33,"спрос на наличные деньги в сентябре рос в пределах сезонности, сообщил цб рф в очередном выпуске комментария по денежно-кредитным условиям, не выделив в этот раз никаких дополнительных факторов.структурный профицит ликвидности банковского сектора в сентябре сократился в среднем до 1 трлн руб.",-1
34,"поставки нефти из россии в пакистан носят нерегулярный характер, поскольку нефтеперерабатывающие заводы (нпз) страны настроены на более легкие сорта, сообщил журналистам министр нефти и газа пакистана али первез малик в кулуарах петербургского международного экономического форума (пмгф-2025).в пакистане есть пять-шесть нефтеперерабатывающих заводов, и они уже работают с пробными партиями, привезнными из россии.",-1
35,"в рознице продолжился небольшой подъем, заявили в цб рф",-1
36,"москва. 9 октября. interfax.ru - московская биржа приняла решение с 13 октября перевести обыкновенные акции пао озон фармацевтика из раздела второй уровень в раздел первый уровень списка ценных бумаг, допущенных к торгам.согласно сообщению биржи, такое решение принято в связи с получением заявления от компании.озон фармацевтика провела ipo на мосбирже в октябре 2024 года.",-1
37,"москва. 9 октября. interfax.ru - власти сша внесли свыше 50 компаний, судов и физлиц в санкционные списки, связанные с ираном, сообщили в четверг в американском минфине.управление по контролю за иностранными активами (ofac) усиливает действия, направленные на борьбу с экспортом нефти и нефтехимической продукции ирана, вводя санкции в отношении более чем 50 человек, организаций и судов, - говорится в сообщении.в нем отмечается, что подпавшие под санкции люди и организации способствовали продаже и поставкам иранской нефти и сжиженного углеводородного газа.под санкции подпали, в частности, компании из оаэ и китая.",-1
38,"президент сша дональд трамп заявил, что попытается присутствовать в египте на подписании соглашения о прекращении огня в газе. об этом он сказал на заседании кабинета министров в белом доме, посвященном мирному соглашению по газе.",0
39,газпром (moex: gazp) приступил к практической реализации проекта строительства газопровода волховмурманск. об этом компания сообщила в telegram-канале.,1
40,"президент сша дональд трамп выразил надежду на то, что украинский конфликт станет девятым в списке геополитических столкновений, которые удалось урегулировать при его участии. об этом он заявил на заседании кабинета министров в белом доме, посвященном мирному соглашению по газе.",2
41,"соглашение о прекращении огня в секторе газа еще не подписано из-за разногласий по списку имен палестинских заключенных, подлежащих обмену. споры вызвали лидеры палестинского движения хамас, фигурирующие в списках, заявил риа новости представитель палестинцев.",3
42,"россия и пакистан планируют в ближайший месяц-полтора провести заседание межправкомиссии, на котором обсудят рабочую дорожную карту по поставкам топлива. об этом сообщил министр нефти и газа пакистана али первез малик на петербургском международном газовом форуме.",4
43,"акции ferrari рухнули на 16. это сильнейшее падение котировок автопроизводителя с января 2016 года, когда он стал независимой компанией.",5
44,"8 октября правительство сербии перевело в фонд развития курской области 472 млн руб., сообщили в министерстве иностранных дел россии. российская сторона выражает признательность дружественной сербии за внимание и отзывчивость, неравнодушие к судьбам российских граждан, заявили в мид рф.",6
45,"в мид россии считают, что превратиться в военную машину евросоюзу не позволяют словакия и венгрия, которые хотят не войны, а мира. с такой оценкой событий в европе выступил глава мид россии сергей лавров, комментируя попытки евросоюза ввести новый принцип голосования.",7
46,"австриец ади хюттер отправлен в отставку с поста главного тренера футбольного клуба монако, за который выступает российский полузащитник александр головин. об этом сообщает газета lequipe.",8
47,"международные резервы россии выросли до 722,5 млрд с 26 сентября по 3 октября, следует из данных центробанка. это новый рекорд.",9
48,количество кибератак на российский финансовый сектор увеличилось в первом полугодии 2025 года на 13 по сравнению с аналогичным периодом прошлого года. об этом сообщила вице-президент лаборатории касперского по развитию бизнеса в россии и странах снг анна кулашова.,10
49,"соединенные штаты ввели новые санкции, связанные с ираном, следует из сообщения на сайте министерства финансов сша. в список специально обозначенных граждан американского управления по контролю за иностранными активами внесены физлица из китая и индии.",11
50,"египетский красный крест сообщил, что в сектор газа направились 153 грузовика с гуманитарной помощью после объявления перемирия между израилем и палестинским движением хамас. сообщение организации передает afp.",12
51,"москва поддерживает любые мирные усилия, направленные на прекращение конфликта в секторе газа. об этом президент россии владимир путин заявил в душанбе.",13
52,палестинское движение хамас и израиль достигли договоренностей о прекращении огня. точное время вступления в силу соглашения объявят посредники.,14
53,"хорватия готова выкупить долю российско-сербской компании нефтяная индустрия сербии (nis), которая попала под санкции сша. об этом заявил министр экономики и устойчивого развития хорватии анте шушняр.",15
54,в 2024 году он совершил аналогичный прыжок на северный полюс,-1
55,"президент сша дональд трамп может отправиться в египет, чтобы подписать соглашение для прекращения войны в секторе газа.",-1
56,"инфантино заявил, что даже в европе в июле играть жарко, а вот в марте и октябре можно проводить матчи где угодно",-1
57,российско-арабский саммит перенесли на более позднее время из-за реализации плана трампа по газе. мероприятие было запланировано на 15 октября,-1
58,"до энергетической независимости странам западной европы от российских энергоресурсов ещ очень далеко, заявил rt экономист, топ-менеджер в области финансовых коммуникаций андрей лобода. читать далее",-1
59,президент сша дональд трамп пообещал сделать газу пригодной для проживания людей после заключения мира. читать далее,-1
60,"сенат сша в седьмой раз отклонил законопроекты обеих партий о финансировании правительства, которые положили бы конец шатдауну. читать далее",-1
61,"один житель ставрополья погиб, несколько пострадали при дтп с экскурсионным автобусомnbsp;в абхазии, сообщает глава ставропольского края владимир владимиров вnbsp;телеграм-канале.",-1
62,газпром (moex: gazp) подписал меморандум о взаимопонимании с пакистанской oil and gas development company limited (ogdcl). об этом сообщил журналистам министр нефти и газа пакистана али первез малик.,16
63,"в узбекистане в ближайшие дни будет дан старт реализации совместных с россией проектов по строительству первой реакторной установки атомной электростанции и многофункционального центра ядерной медицины, заявил президент республики шавкат мирзиев.в эти дни состоится историческое событие - будет дан старт реализации совместных проектов строительства первой реакторной установки будущей атомной электростанции и многофункционального центра ядерной медицины в узбекистане, - сказал мирзиев, выступая на втором саммите центральная азия - россия в душанбе.текст его выступления опубликован на официальном сайте главы государства.президент подчеркнул, что энергетическое сотрудничество стран региона с россией будет и впредь оставаться важным фактором стабильности и устойчивого развития.сегодня мы реализуем стратегические проекты, включая развитие газопроводов и энергетической инфраструктуры, - отметил он.глава узбекистана предложил наладить широкое научно-практическое сотрудничество в сфере атомной энергетики.",-1
64,"президент сша дональд трамп заявил, что его администрация готова работать с ираном. он отметил позицию тегерана по соглашению по газе, заявив, что в вашингтоне ценят готовность иранцев поддержать сделку между израилем и хамасом.",17
65,его приговорили к 10 годам колонии строгого режима и штрафу в размере 10 млн рублей,-1
66,"председатель правления газпрома алексей миллер предупредил, что европейскую часть россии и европу ожидает аномально холодная зима. по его словам, такие холода в зимний период фиксируют раз в 20 лет.",18
67,"от газопровода компания спроектирует и начнет строительство первоочередных газопроводов-отводов с газораспределительными станциями, межпоселковых и внутрипоселковых газопроводов",-1
68,"сша разработали план прекращения конфликта израиля и хамас, первый этап уже был подписан, но точные сроки его начала неясны. трамп допустил, что приедет в египет для еще одного подписания соглашения",-1
69,американский банк citigroup inc.,-1
70,"министр цифрового развития и связи региона александр синелобов сообщил, что стороны проведут несколько мероприятий в этом направлении",19
71,"заместитель директора инвестиционного департамента крдв мария бадмацыренова сообщила, что в год 80-летия победы регионы дальнего востока и арктики готовы также предложить патриотические туры",20
72,"председатель совфеда отметила, что доступность спорта не должна измеряться кошельком родителей или доходами семьи",21
73,"ибрагим храиши подчеркнул, что палестина не просит международное сообщество поставлять ей оружие, а всего лишь призывает к соблюдению международного права",22
74,"издание отмечает, что высокая доходность американских облигаций нивелируется возросшими расходами на инструменты хеджирования колебаний валютных курсов",23
75,"заместитель директора инвестиционного департамента крдв мария бадмацыренова заявила, что к тому моменту приморские тропы будут в стадии высокой готовности",24
76,"издание отмечает, что для этого уже создан специальный комитет, в который вошли министры горнодобывающей промышленности и финансов страны",25
77,"также в апреле 2024 года мужчина выкрикивал лозунги нацистской организации, находясь в помещении бара в поселке красное",26
78,"кредитным организациям предложено внедрять онлайн-мониторинг операций клиентов, чтобы оперативно выявлять дропперов, сообщил регулятор",27
79,"президент сша отметил, что в будущем его восстановят",-1
80,"кроме того, освободят 1 700 палестинцев, задержанных после 7 октября 2023 года, сообщил глава движения хамас в анклаве халиль аль-хейя",-1
81,"компании планируют вместе разрабатывать и осваивать новые виды трубной продукции с улучшенными эксплуатационными свойствами, отметил генеральный директор омк анатолий седых",-1
82,"халиль аль-хейя отметил, что заключенное соглашение включает постоянное прекращение огня в газе",-1
83,"как отметил глава области андрей чибис, газификация позволит изменить уклад экономики региона",-1
84,"правительство края подготовит перечень предложений региональных предприятий, продукция которых может быть востребована на объектах компании",-1
85,"речь идет о посредниках из египта, катара и турции",-1
86,"сергей лебедев отметил, что товарооборот между странами содружества не только сохраняется, но и растет, также растет ввп",-1
87,ключевым событием в 2025 году станет создание сада из 1 300 краснодубовых деревьев в пригородном районе,-1
88,для обеспечения новых производственных мощностей в эксплуатацию ввели новую подстанцию,-1
89,"член политбюро палестинского движения усама хамдан отметил, что израильская армия не сможет снова атаковать сектор газа",-1
90,"президент республики отметил, что несколько европейских стран также выразили готовность присоединиться к этому процессу",-1
91,"заместитель министра финансов рф иван чебесков заявил, что правильный подход - менять состав портфеля в зависимости от риск-профиля",-1
92,"ведомство находится в контакте с цб рф, минфином, генпрокуратурой и акционерами пао югк",-1
93,"внесенный демократами законопроект поддержали 47 членов верхней палаты конгресса, против высказались 50",-1
94,"украина не успевает за производством ударных беспилотников в россии по количеству перехватчиков, заявил секретарь комитета рады по вопросам нацбезопасности роман костенко. читать далее",-1
95,контрольно-пропускной пункт рафах на границе между египтом и сектором газа вновь начнт функционировать. читать далее,-1
96,"израиль освободит из тюрем всех палестинских детей и женщин в газе, а также заключнных, приговорнных к пожизненному заключению, заявил глава движения хамас в газе халиль аль-хайя. читать далее",-1
97,"военный суд вынес приговоры трм украинским военнослужащим, признанным виновными в совершении террористических актов на территории курской области. все обвиняемые были участниками незаконных вооружнных вторжений в суджанский район региона в разное время в 20242025 годах. читать далее",-1
98,"член политбюро хамас усама хамдан заявил, что армия израиля истощена и не может снова атаковать сектор газа. читать далее",-1
99,президент сербии александр вучич не сможет посетить международный форум laquo;российская энергетическая неделяraquo; (рэн) в москве из-за визита в эти даты главы еврокомиссии урсулы фон дер ляйен.,-1
100,"баку в начале июля задержал членов редакции sputnik азербайджан и группу iт-работников после того, как на урале прошли задержания в азербайджанской диаспоре. москва называла освобождение россиян шагом к нормализации отношений",-1
101,"согласно данным расследования сми, в шпионской сети замешан нынешний член еврокомиссии от венгрии оливер вархели",-1
102,"премьер-министр израиля биньямин нетаньяху считает, что нобелевской премии мира должен удостоиться президент сша дональд трамп.вручите нобелевскую премию мира дональду трампу, он заслужил, - написал израильский премьер в четверг в соцсети x.президент египта абдель фаттах ас-сиси также считает, что трамп должен стать нобелевским лауреатом, сообщает газета daily news egypt.",-1
103,"представители хамас получили от арабских переговорщиков и администрации сша гарантии того, что конфликт в секторе газа завершен, сообщил один из лидеров движения халиль аль-хайя.мы получили гарантии от братских посредников и администрации сша, которые подтвердили, что война полностью завершена, - передает его слова аль-джазира в четверг.также аль-хайя сообщил, что в рамках соглашения о перемирии израиль отпустит из тюрем 250 палестинцев, отбывающих пожизненное заключение, а также 1,7 тыс.",-1
104,"юридический механизм направления росимуществом оферты миноритарным акционерам в законодательстве рф отсутствует, ведомство ведет консультации с цб, минфином, генпрокуратурой и акционерами пао южуралзолото группа компаний по этому вопросу, говорится в опубликованном сообщении росимущества.ранее стало известно, что цб предписал росимуществу как новому владельцу контрольного пакета акций югк выставить оферту миноритариям компании.полномочия росимущества строго ограничены законодательством рф, в том числе бюджетным кодексом рф.",-1
105,"сотовый оператор т2 планирует в начале 2026 года запустить собственную платежную карту, сообщила директор по развитию финансовых и инновационных сервисов компании елизавета гусева на форуме финополис.по ее словам, карта т2 будет работать на базе baas-решения (business processes as a service, услуга аренды банковской инфраструктуры - иф), технологическим партнером стала финтех-компания paygine.у paygine есть своя рнко, и мы берем инфраструктуру партнера и реализовываем у себя внутри приложения т2 диджитальную карту, все клиентские пути и сценарий - наши.",-1
106,"представители палестинского движения хамас получили гарантии от посредников из сша, катара, турции и египта, что израиль не возобновит войну в секторе газа. об этом сообщил глава движения в анклаве халиль аль-хайя, передает reuters.",28
107,"министр национальной безопасности израиля итамар бен-гвир заявил, что свергнет правительство израильского премьера биньямина нетаньяху, если палестинское движение хамас не будет ликвидировано. об этом сообщает агентство reuters.",29
108,сенат сша в седьмой раз отклонил законопроекты республиканцев и демократов по финансированию работы федерального правительства. в стране продолжается шатдаун.,30
109,"президент сербии александр вучич сообщил, что не сможет посетить международный форум российская энергетическая неделя 2025, который пройдет в москве с 15 по 17 октября. причиной он назвал визит председателя еврокомиссии урсулы фон дер ляйен в белград, совпадающий по датам с мероприятием.",31
110,"внедрение обязательной биометрической идентификации через единую биометрическую систему (ебс) ставит под угрозу существование большинства микрофинансовых организаций. лишь 10 компаний смогут позволить себе инвестиции в 4060 млн руб. на подключение к системе, при этом целевая аудитория мфо массово не пользуется биометрией, констатирует гендиректор финансовой онлайн-платформы webbankir андрей пономарев.",32
111,"в ткуарчалском районе абхазии у села акармара экскурсионный микроавтобус с туристами из ставропольского края сорвался с дороги и упал в почти 50-метровую пропасть. в результате происшествия одна россиянка погибла, еще семь человек получили травмы различной степени тяжести, сообщили власти абхазии и ставропольского края.",33
112,"глава палестинского движения хамас в секторе газа халиль аль-хайя заявил, что соглашение о прекращении огня в секторе газа, согласованное при участии посредников, вступит в силу сегодня. об этом сообщает агентство reuters.",34
